"Date","Weight (lb)","Fat mass (%)","Lean mass (%)","Comments"
"2014-08-09 11:55 AM","152","19.37","80.63",""
"2014-08-08 8:21 AM","152.7","19.59","80.41",""
"2014-07-31 9:40 AM","155","20.8","79.2",""
"2014-07-24 8:55 AM","153.7","20.38","79.62",""
"2014-07-18 8:04 AM","153.8","19.99","80.01",""
"2014-07-14 8:39 AM","156.2","21.16","78.84",""
"2014-07-13 12:00 PM","155.5","20.94","79.06",""
"2014-07-07 7:36 AM","159.6","22.21","77.79",""
"2014-07-05 1:03 PM","156.6","23.02","76.98",""
"2014-06-28 10:23 AM","156.1","20.69","79.31",""
"2014-06-26 8:09 AM","158","21.73","78.27",""
"2014-06-21 1:58 AM","158.2","21.78","78.22",""
"2014-05-27 8:42 AM","159.2","23.36","76.64",""
"2014-05-19 8:55 AM","156.9","20.96","79.04",""
"2014-05-12 9:02 AM","156.4","20.84","79.16",""
"2014-05-11 9:56 AM","156.2","21.15","78.85",""
"2014-05-10 10:08 AM","154.7","20.27","79.73",""
"2014-05-09 9:55 AM","155","20.81","79.19",""
"2014-05-05 8:39 AM","160.2","22.9","77.1",""
"2014-05-03 9:13 AM","157.5","21.57","78.43",""
"2014-05-01 11:14 AM","157.4","21.56","78.44",""
"2014-04-27 9:17 AM","160.2","22.18","77.82",""
"2014-04-23 8:29 AM","163.3","21.36","78.64",""
"2014-04-11 9:27 AM","158.4","21.86","78.14",""
"2014-04-07 9:04 AM","159","22.01","77.99",""
"2014-03-31 9:10 AM","157.2","21.5","78.5",""
"2014-03-27 12:14 PM","157.4","21.12","78.88",""
"2014-03-27 12:11 PM","157.9","21.28","78.72",""
"2014-03-25 8:42 AM","159.7","22.27","77.73",""
"2014-03-22 10:07 AM","159.2","21.67","78.33",""
"2014-03-14 9:04 AM","155.5","20.97","79.03",""
"2014-03-09 11:00 AM","158.5","21.92","78.08",""
"2014-03-07 8:01 AM","160.6","20.54","79.46",""
"2014-03-04 11:09 AM","157.3","21.55","78.45",""
"2014-03-01 10:11 AM","156.2","21.69","78.31",""
"2014-02-28 8:54 AM","158.5","21.87","78.13",""
"2014-02-27 8:26 AM","156.7","21.33","78.67",""
