Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2014-02-01","2,614","13,382","5.87","0","1,223","70","75","72","1,173"
"2014-02-02","2,490","10,368","4.83","0","1,246","87","53","54","1,008"
"2014-02-03","3,098","21,013","9.33","0","1,157","58","84","141","1,727"
"2014-02-04","2,484","10,230","4.56","0","694","130","74","40","1,085"
"2014-02-05","3,314","23,060","10.41","0","1,087","112","92","149","2,026"
"2014-02-06","2,817","14,377","6.51","0","1,130","141","109","60","1,451"
"2014-02-07","3,109","19,208","8.47","0","1,060","158","133","89","1,842"
"2014-02-08","2,357","7,858","3.49","0","1,219","123","77","21","903"
"2014-02-09","2,140","5,386","2.39","0","1,308","68","42","22","582"
"2014-02-10","3,080","19,733","8.87","0","1,130","99","104","107","1,727"
"2014-02-11","2,340","8,815","3.97","0","1,262","80","56","42","865"
"2014-02-12","2,117","5,777","2.61","0","1,315","65","29","31","588"
"2014-02-13","2,802","13,785","6.2","0","1,117","166","92","65","1,459"
"2014-02-14","2,868","14,991","6.67","0","1,127","152","87","74","1,495"
"2014-02-15","2,869","15,798","6.97","0","1,124","133","106","77","1,530"
"2014-02-16","2,430","3,363","1.48","0","1,367","37","22","14","338"
"2014-02-17","2,592","11,017","4.83","0","1,168","158","63","51","1,192"
"2014-02-18","2,418","9,435","4.21","0","1,254","83","53","50","919"
"2014-02-19","2,378","9,280","4.2","0","1,270","78","35","57","886"
"2014-02-20","3,069","7","0","0","1,439","1","0","0","3"
"2014-02-21","1,965","4,602","2.02","0","1,374","24","13","29","392"
"2014-02-22","2,430","8,232","3.61","0","1,148","166","120","6","1,067"
"2014-02-23","2,430","1,035","0.45","0","1,371","59","10","0","216"
"2014-02-24","2,056","3,796","1.67","0","1,297","93","44","6","520"
"2014-02-25","2,523","9,862","4.51","0","1,178","143","84","35","1,119"
"2014-02-26","2,314","7,964","3.63","0","1,279","71","51","39","788"
"2014-02-27","2,647","12,300","5.42","0","1,167","138","77","58","1,249"
"2014-02-28","2,437","9,754","4.31","0","1,234","99","61","46","968"
"2014-03-01","2,732","12,977","5.72","0","1,102","174","129","35","1,420"
"2014-03-02","2,457","9,586","4.24","0","1,179","138","95","28","1,074"
"2014-03-03","2,715","14,080","6.28","0","1,192","98","65","85","1,296"
"2014-03-04","2,527","11,678","5.12","0","1,232","74","71","63","1,059"
"2014-03-05","2,398","9,281","4.1","0","1,230","105","68","37","954"
"2014-03-06","2,935","16,843","7.4","0","1,096","143","127","74","1,627"
"2014-03-07","2,157","5,166","2.28","0","1,273","100","53","14","644"
"2014-03-08","2,538","11,449","5.02","0","1,212","91","81","56","1,099"
"2014-03-09","2,383","8,163","3.64","0","1,195","132","95","18","965"
"2014-03-10","2,181","6,465","2.88","0","1,312","54","45","29","621"
"2014-03-11","2,670","13,765","6.04","0","1,187","93","92","68","1,265"
"2014-03-12","2,113","5,290","2.36","0","1,322","56","39","23","540"
"2014-03-13","3,088","20,417","9.09","0","1,149","74","90","127","1,721"
"2014-03-14","2,440","9,003","3.98","0","1,189","130","94","27","1,023"
"2014-03-15","3,047","10,019","4.41","0","1,254","69","71","46","928"
"2014-03-16","2,075","4,578","2.01","0","1,296","83","50","11","559"
"2014-03-17","2,178","7,334","3.22","0","1,323","44","24","49","645"
"2014-03-18","2,086","5,232","2.31","0","337","76","50","16","587"
"2014-03-19","2,810","15,151","6.69","0","1,126","127","122","65","1,480"
"2014-03-20","2,876","15,084","6.67","0","1,105","146","127","62","1,525"
"2014-03-21","2,474","9,741","4.43","0","1,230","107","54","49","1,001"
"2014-03-22","2,812","15,126","6.75","0","1,159","125","68","88","1,432"
"2014-03-23","2,371","7,851","3.44","0","1,200","131","93","16","934"
"2014-03-24","2,881","16,674","7.4","0","1,152","103","98","87","1,510"
"2014-03-25","2,706","14,383","6.46","0","1,215","73","65","87","1,269"
"2014-03-26","2,195","7,517","3.34","0","1,324","39","32","45","653"
"2014-03-27","2,379","9,057","3.97","0","830","82","64","43","888"
"2014-03-28","2,502","10,484","4.67","0","785","112","68","52","1,062"
"2014-03-29","1,551","3,716","1.63","0","542","39","24","18","373"
